daisyrowley,"Avatar is an overwhelming, immersive spectacle. The state-of-the-art 3D technology draws us in, but it is the vivid weirdness of Cameron's luridly imagined tropical other world that keeps us fascinated. I like this film and I have written many review for <a href=""https://domywriting.com/"">essay writing service</a>. The special effects are so good here that you don't even notice them. It is eerie how Cameron has made it look and feel like he is just pointing a camera at the action."
John Chard,"It's cinema Jim, but not as we know it. 

So here it is then, what has been in gestation in James Cameron's mind for over 12 years finally hit the silver screen towards the back end of 2009. Made for gazillions amount of cash, Avatar went on to make a billion trillion in Worldwide receipts-and this before the rush rush release of DVD/BLU RAY sales are factored into the equation. The film, and all its technical wizardry, is quite simply a gargantuan piece of cinematic history. Released in 2d and 3d, and probably some other format that I'm forgetting, every advanced tool of the trade has been utilised by Cameron and his team to create what is now the ultimate popcorn blockbuster. Shame then, that away from the visual extravaganza the film is as shallow as this review will ultimately end up being.

No doubt about it, this is a joy for the eyes and ears, the minuscule details are wonderful and the colour positively pings from every frame. But in the eagerness to create such splendour they forgot to put any substance into the writing. This is plot simplicity. And even its messages, as Cameron smugly preaches his sermon from the pulpit, now seem old hat. Do we really need another boink over the head about eco invasion? Or a curt reminder of American infiltration into some land where motives are suspicious at best? No we don't really do we? Worse still is some of the dialogue, which quite frankly could have come from some playground encounter as the kiddies play kiss chase or bang bang your dead army. There's also a sense of familiarity with other better scripted film's, Dances *cough* With *cough* Wolves *cough* It's as if Cameron just knew that narrative structure wasn't as important as having the expensive gimmicks. He's like a modern day William Castle-only with considerably more readies at his disposal.

The cast are OK, Zoe Saldana puts a sexy feistiness to her blue alien Neytiri, Sam Worthington keeps the humanistic elements just about above water, while Sigourney Weaver is as ever the consummate professional. But ironically, in a film shimmering bright in 2d & 3d, the characters are all one dimensional. None more so than Stephen ""The Party Crasher"" Lang's Colonel. A man so gruff and gung-ho menacing he really ought to be in Sly Stallone's upcoming testo movie The Expendables. Nominated for nine Academy Awards, including Best Picture and Best Director, it won three, for Best Cinematography, Best Visual Effects, and Best Art Direction. Those were richly deserved. They also tell us all we need to now about Cameron's Behemoth. 5/10"
MSB,"Rewatching Avatar confirmed my love for Pandora. Exquisite world-building by James Cameron, memorable score by James Horner & jaw-dropping, innovative visuals that complement wonderful storytelling.

How can people not remember these characters?! Super excited about tomorrow's IMAX screening of Avatar: The Way of Water!"
cutprintchris,"<a href=""http://www.cutprintfilm.com/reviews/spectre/""</a>

In hindsight my excitement for Spectre seems a bit foolish. After Skyfall, director Sam Mendes openly stated that he wouldn’t direct another Bond movie. And even so, Skyfall wasn’t the best of the new Bond films by any measure – dragging on for much too long. But somehow I got sucked into the hype of Mendes’ vision for an homage to the classic Bond, with that somewhat iconic poster of Craig mimicking Roger Moore, and trailers the emphasized a kind of retro re-visitation of some old villains and themes. But Spectre is none of those things, instead it is a film where everyone involved feels like they are just going through the motions. Spectre tries very hard to be an homage to the vintage James Bond classics, but instead ends up feeling more like a mockery of the series.

For starters the script is outrageously weak and predictable. Bond goes from shootout, to chase, to sex scene, saying and doing the exact same things he has done for the last 23 movies. Instead of a complete story, the film is just a collection of set pieces and scenes loosely stitched together. And while some of them work well on their own, by the second or third fight scene, you won’t be able to stop yourself from yawning. When you aren’t yawning you’ll be laughing, and not in a good way. The dialogue is downright cheesy. Gone is all of Bond’s smooth charm and ability to sting his opponent’s with his tongue just as much as with his gun. Instead at one point, he throws a watch bomb and says: “Time flies!”

Bond is one a secret mission, assigned to him by M (Judi Dench) via a video message delivered after her death. The film doesn’t ever attempt to invest the audience in this mission, or in Bond’s motivation for seeking out Oberhauser (Christoph Waltz) – which apparently has something to do with his foster-father and his childhood, again – but it never seems important to the story or to James. Meanwhile, a new joint secretary, Max or C as he is known (Andrew Scott), is attempting to unite the world’s intelligence under one surveillance network – and through doing so making the Double-0 program obsolete. Lucky for him, Sam Mendes is already doing that for him.

However, Spectre is a beautiful film. There are about five or six huge set pieces, all of which are wonderfully filmed. And if you are just in the mood the veg out and watch Bond cruise through the streets of Rome in a prototype Aston Martin, than this is the movie for you. But things go on for entirely too long, which would be fine if something of interest were happening. But almost nothing does. Bond gets in a situation and gets out, all while throwing a few pithy, laughable, lines out.

Daniel Craig has never been more disconnected from the character James Bond, than he is in Spectre. I must say first, that I love Craig as an actor and as James Bond – he is my favorite of all the Bonds. But here, he is uncharacteristically not James Bond. A scene for instance where bond throws his gun into the river, is done in such a fancy foppish way that I cringed. It is tough to properly convey how Craig misses the mark in Spectre, but when you see it, you won’t be able to help feeling the same way.

Maybe Sam Mendes and screenwriter John Logan did succeed at creating a perfect homage to the Roger Moore era Bond films? Because in reality, none of those films standout as great movies. From start to finish, Spectre feels like someone filling out a madlibs of Bond scenes, and praying that when they read it back, it makes some sense."
Frank Ochieng,"Well, cinema’s most treasured and resilient British spy guy is back as the legendary James Bond makes his twenty-fourth outing on the big screen in the highly anticipated and slickly-made Spectre. Worldwide Agent 007 fans understandably maintain their embedded expectations and vision as to what calculating and cunning mission their suave and sophisticated gun-toting, martini-sipping espionage thrill-seeker will encounter in his latest globe-trotting episode. Whatever Bond enthusiasts have in mind for the future twenty-fifth entry of the “licensed to kill” Lothario they should simply settle for the present stimulating currents that trickle as mind-bending material in the polished and percolating Spectre.

As for the dynamic performer that have served his time with action-oriented cinematic sensibilities through three previous super-charged James Bond installments, the steely-jawed and diligent Daniel Craig is back on the saddle again for his fourth stint as the crafty 007. Naturally both ardent and casual Bond followers can rattle off the filmography of Craig’s on-screen tour of duty as the debonair and daring secret service operative and even rate the previous films as they compare and contrast each edition.  Some may give special attention to Craig’s first foray into stepping inside Bond’s explosive shoes for 2006’s Casino Royale that is considered a spectacular introduction for the dramatically trained actor. In 2008’s Quantum of Solace, it was a mixed bag at best as Bond followers for the most part gave this second 007 rendition an ambivalent sign of approval (not too many were thrilled with the awkward movie title either). Thankfully, 2012’s Skyfall bounced back for Craig’s take on the roguish Bond and made for some exceptional brownie points as the cagey spy returning to creative prominence. Now 2015’s Spectre hopes to make some hearty tie-ins to Craig’s past big screen adventures as the stoic jet-setting dynamo ridding the world of masterful riff raff.

In actuality, Spectre is serviceable in that it is an elaborate and excitable reminder of the preceding Bond films where bits of nostalgic elements from yesteryear are sprinkled throughout its presentation. Sure, some wily 007 fanatics may spot a few of the tossed in nods to the aforementioned Casino Royale and Quantum of Solace in particular as the proceedings unfold. For the most part, Spectre acts as a mere bridge to the launching of the upcoming 25th Bond actioner in waiting. To be fair the other Bond films have served as a welcome mat to the next chapter of the late Ian Fleming’s engaging and charismatic man of action so why should not Spectre be any different in this regard? Still, this spy caper has its signature swagger that Bond aficionados relish with familiarity: heart-pumping action sequences, exquisite locales, desirable and devious Bond women, majestic car chases, larger-than-life villains and their loyal henchmen, imaginative gadgets and inventive technology and yes…the indomitable James Bond at your service. Nevertheless. the minor knock on Spectre is that it could have risen to the occasion more than it did as it occasionally feels as if it is going through the mischievous motions. It never resorts to the levels of Bond-ish drudgery in Quantum of Solace so that certainly is a relief in that aspect.

Spectre does incorporate its share of opulence, mystery, suspense, shadowy tension and perilous plight. However, where the standard Bond film-making characteristics are somewhat consistent and captivating (i.e. the breathtaking opening sequence of the Day of the Dead celebration in Mexico City) there is also a questionable consideration for the weak-kneed Bond theme song in Sam Smith’s “Writing’s on the Wall” which seems so inadequately suited for a James Bond signature tune. Even the indifferent observers of the James Bond film franchise for the last five decades can attest to the two most important stamps of a Bond film–its opening scene and surging theme song.  Thankfully, Spectre’s grand opening sequence obeys traditional Bond practices but Smith’s doggedly tired-sounding “Writing’s on the Wall” feels as it belongs attached to an old televised After School special from the mid-70s. Wouldn’t you give your kingdom for Paul McCartney and Wings’ “Live and Let Die” or Carly Simon’s “Nobody Does It Better” or perhaps even Sheena Easton’s “For Your Eyes Only”?

One thing that can be said about Craig’s Bond in Spectre and that is his image transformation has been elevated to that of a fashion plate whose GQ stylized look has taken quite a step up. Not since Roger Moore’s Bond has there been a clear case of dazzling attire on display for Agent 007 to strut his stuff in spiffy clothing accessories throughout his ventured travels. Craig, billed as a “blue-collar” Bond whose demeanor is more blunt and workman-like, takes comfort in basking in the finesse shadows of a classic Agent 007 almost foreign to his distinctive spin on the iconic spy. In fact, the overall vibe for Spectre seems to lie in the middle of old school and new school James Bond mythology where the shading suits both camps of the ever-lasting film franchise.

Director Sam Mendes, who handled the direction for the previous Skyfall, finds the right tone and temple for Spectre that certainly shows off its lavish and ambitious production values as the set designs, scenic locations, fabulous pre-credits action sequence are all indescribable in majestic scope. No one can accuse Spectre as to not holding its own in visual functionality. Wisely, Mendes does not forget his Skyfall background players as they reunite with Craig’s Bond and partake in the sensationalized cat-and-mouse caper. It is refreshing to see Ralph Fiennes back as “M” not to mention Ben Wishaw’s “Q” front and center. And a Craig-fronted Bond film would not be the same without Naomie Harris as Miss Moneypenny.

Agent 007 fans will find a common ""Bond"" with Daniel Craig and his fourth outing as the licensed to kill Lothario in the stunning and kinettic SPECTRE
Agent 007 fans will find a common “Bond” with Daniel Craig and his fourth outing as the licensed to kill Lothario in the stunning and kinetic SPECTRE
It is a given that the diabolical criminal network known as SPECTRE has always had its affiliation with the Bond universe especially in the classic Sean Connery Bond-age years. Instinctively, SPECTRE’s evil heart and soul was pumped continuously by that organization’s dastardly mastermind Ernst Stavro Blofeld. Oscar winner Christoph Waltz does the sordid honors of taking the reins as Bond’s nemesis Franz Oberhauser in Spectre with devilish delight and is more colorfully corrupt thanks to his handy go-to muscular minion Mr. Hinx (ex-professional WWE wrestler and “Guardians of the Galaxy” star Dave Bautista) echoing the memories of beloved brute Jaws (played by the late Richard Kiel) from The Spy Who Loved Me and Moonraker). 

We can never forget that along with Agent 007 folklore comes the responsibility of being labeled a treasured Bond babe. And although the latest sultry women represented in Spectre will never make us forget the iconic likes of Dr. No’s Ursula Andress (Honey Ryder) or Casino Royale’s Eva Green (Vesper Lynd) for that matter they still hold their own and give a measure of titillation to both Bond and the vast amount of male admirers wishing they carried a gun and wore expensive tuxedos while being at the receiving end of a provocative smooch by these vibrant vixens. Lea Seydoux’s Madelene Swann and Italian siren Monica Bellucci’s Lucia are on board as the Bond bombshells for hire.

As a whole, Spectre has its up and down moments and never is quite sure about standing alone as an independent Bond story or being dismissed as a pit stop for 007-related flashbacks and reference bits ode to yesteryear’s glory of the super spy’s engaging and raging exploits. The verdict is that Spectre ultimately satisfies one’s craving for the invincible James Bond whether you can to relive his vintage reputation or look forward to a millennium-enhanced production that will grow with the ageless wonderment pertaining to Fleming’s literary ladies man-turned movie-making mainstay of action-packed cinema for half a century. As one-time Bond songbird Carly Simon would attest in her soothing lyrics, “nobody does it better…”  Yet in the dimensional escapist world of James Bond this particular go-around could have been a tad bit better.

Spectre (2015)

Sony Pictures

2 hrs 28 mins.

Starring: Daniel Craig, Christoph Waltz, Lea Seydoux, Naomie Harris, Ben Whishaw, Dave Bautista, Monica Bellucci, Andrew Scott

Directed by: Sam Mendes

MPAA Rating: PG-13

Genre: Spy-Espionage Caper/Action & Adventure/Suspense Thriller

Critic’s rating: ** 1/2 stars (out of 4 stars)

(c) Frank Ochieng (2015)"
Andres Gomez,"A ""correct"" Bond movie. All the expected stereotypes are included, Waltz is an OK bad guy and the intro scene is something really impressive.

Nothing else really new ..."
Reno,"> Not your usual Bond movie, but still a good entertainer.

What I liked from a couple of last Bond movies was they were off the regular 007 style, like not overly rely on spy's special gadgets. This change has been since the day one of Daniel Craig as a famous British spy, James Bond. Anyway, he's the most fittest (muscular) Bond I've ever seen and he's celebrating 10 year anniversary with this film release. But the question is whether he to do another film or done with the franchise. The doubt after the confusing end of this film.

The end was quite clear on the story perspective, so I kind of felt it was a farewell for Craig. But, later I came to know that the official source says Bond25 will be his fifth and so on till he opts out himself. 'Spectre' was a very simple Bond movie I have ever seen, but I can say the production quality was so good that you can't resist the enjoyment. The actors, they were also good, but not as I anticipated. Maybe many scenes were very ordinary for a Bond movie, that's comparable with the nowadays action movies, otherwise it was not as bad as critics expressing their disappointment.

You can't believe what I was disappointed, you know when they say what the C stands for - is that the best word they come up with against the M for Moron? Anyway, James Bond movies have always had ups and downs, the last film 'Skyfall' was a mega hit and now this has not stood up to that standard. But very entertaining with all the actions and unexpected turns in the narration. As a spy movie, it was okay, but as a Bond movie is what might upset you, so its upto you how you look at it. But to be honest, I enjoyed it.

7/10"
MSB,"FULL SPOILER-FREE REVIEW @ https://www.msbreviews.com/movie-reviews/spectre-spoiler-free-review

""Spectre fails to reach the tremendous potential of its intriguing narrative and fascinating antagonist, but Sam Mendes still pulls off a decent James Bond flick.

The screenplay raises significant issues with an incredibly dull subplot that deeply affects the pacing of a bloated runtime. In addition to this, Christoph Waltz's lack of impactful screentime is disappointing, to say the least, despite a brilliant performance from the actor.

Fortunately, the jaw-dropping action set pieces elevate the overall film, which also benefits from gorgeous cinematography (Hoyte van Hoytema) and exceptional acting across the board. Daniel Craig and Léa Seydoux's characters relationship is emotionally compelling, making Bond's mission feel more like an interesting personal journey.

One of the best movies of the franchise is buried somewhere under the messy screenplay, but what can be found at the surface has much to appreciate.""

Rating: B"
CinemaSerf,"Now that Dame Judi has shaken her off her cinematic mortal coil, the new ""M"" (Ralph Fiennes) is facing increasing pressure from whizzkid ""C"" (Andrew Scott) to shut down the 007 programme and rely on an international, computer generated, system of intelligence gathering. Needless to say, ""007"" (Daniel Craig) has his doubts about this and after a manhunt to Rome (via Mexico) that must have cost billions, he alights on an exclusive gathering of the criminal great and good working for the eponymous organisation. Along the way, he manages to enlist ""Q"" (Ben Whishaw) and ""Moneypenny"" (Naomie Harris) in his quest to find the daughter of his old nemesis ""Mr White"". She - ""Madeleine"" (Léo Seydoux) may well know how to help him thwart the ambitions of this secretive and deadly organisation before it is all too late. There are plenty of (extended) action scenes here and the gadgets work well enough, but the story is thin and the characterisations lacking. The dynamic lacks jeopardy - we know who is likely to be behind the cunning plots right from the start and neither Fiennes nor Scott bring much to the party. Indeed the latter is really rather poor. What menace there is, is delivered via some underwhelming contributions from Dave Bautista's ""Hinx"" and from the appearances of Christoph Waltz, but they are all too infrequent to bolster the storyline before an ending that was, frankly, ridiculous - even by ""Quantum of Solace"" (2008) standards. The producers seem to be constantly trying to reinvent ""Bond"" without realising that the more they compromise the standards of the story and weaken the traditional characters, the less impact the franchise has when surrounded by many others of this genre that benefit from stronger writing and a more charismatic star. This is shorter than many of Daniel Craig's other outings as Ian Fleming's master spy, for which I was grateful because this is all rather mediocre from start to finish."
Travis Bell,"I felt like this was a tremendous end to Nolan's Batman trilogy. The Dark Knight Rises may very well have been the weakest of all 3 films but when you're talking about a scale of this magnitude, it still makes this one of the best movies I've seen in the past few years.

I expected a little more _Batman_ than we got (especially with a runtime of 2:45) but while the story around the fall of Bruce Wayne and Gotham City was good I didn't find it amazing. This might be in fact, one of my only criticisms—it was a long movie but still, maybe too short for the story I felt was really being told. I feel confident in saying this big of a story could have been split into two movies.

The acting, editing, pacing, soundtrack and overall theme were the same 'as-close-to-perfect' as ever with any of Christopher Nolan's other films. Man does this guy know how to make a movie!

You don't have to be a Batman fan to enjoy these movies and I hope any of you who feel this way re-consider. These 3 movies are without a doubt in my mind, the finest display of comic mythology ever told on the big screen. They are damn near perfect."
